s,d,c
ABE,ARMAND,61
ABRAHAM,ALFONSO,77
ABRAHAM,HERSCHEL,67
ABRAHAM,KALYN,79
ABRAHAM,LOVE,47
ABRAM,MAX,79
ADAH,CHERILYN,67
ADAH,KYOKO,41
ADAH,WILLETTA,79
ADENA,JASPER,40
ADENA,KIZZIE,68
ADENA,SPENCER,63
ADOLFO,CHERE,78
ADOLFO,VI,62
ADOLFO,WILLETTA,62
ADRIEN,LILLI,42
AGRIPINA,GRADY,46
ALEC,FIDEL,40
ALFONSO,ABRAHAM,77
ALFONSO,BRADY,44
ALFONSO,JONATHON,46
ALFRED,WILLIEMAE,65
ALVIN,JOHNATHAN,44
AMAL,JORGE,48
AMAL,TED,62
AMIRA,DELCIE,75
AN,GEORGIANN,57
ANNELLE,ANTONETTA,58
ANNELLE,AVRIL,42
ANNELLE,ELENE,70
ANNELLE,HELAINE,45
ANNELLE,MADDIE,72
ANNELLE,RIGOBERTO,56
ANNELLE,TUPAC,74
ANNIKA,NESTOR,57
ANTONE,BOB,45
ANTONE,DOUG,59
ANTONE,HWA,49
ANTONE,PORFIRIO,70
ANTONETTA,ANNELLE,58
ANTONETTA,JERALD,46
ARICA,BILL,50
ARICA,CHERE,53
ARICA,JANUARY,46
ARICA,LEONEL,59
ARICA,SHAYNE,75
ARICA,TERRILYN,49
ARICA,THADDEUS,77
ARLEN,LURLENE,43
ARLEN,RICARDO,77
ARMAND,ABE,61
ARMAND,BLAKE,55
ARMAND,KYOKO,60
ARNETTE,SHALON,77
ARON,MYRON,53
ARON,RAELENE,45
ASHANTI,DARCEY,59
AURORE,KURT,42
AVERY,ELVIS,52
AVERY,SHAWANNA,48
AVRIL,ANNELLE,42
AVRIL,CELSA,46
AVRIL,CRISTOBAL,45
AVRIL,ELZA,72
AVRIL,FERDINAND,59
AVRIL,MITSUKO,65
AVRIL,NICHOLLE,66
AVRIL,TONEY,42
BARABARA,LORIA,45
BARRY,DANTE,43
BARRY,JAMEE,70
BARRY,LAREE,74
BEN,LINO,42
BENNETT,RUPERT,40
BERNA,EVIA,44
BERTRAM,FLORENCIO,51
BERTRAM,LAINE,72
BERTRAM,MELDA,75
BERTRAM,ROOSEVELT,76
BERTRAM,ROSENA,47
BERTRAM,RUDOLPH,78
BERTRAM,SENAIDA,45
BILL,ARICA,50
BILL,LEONTINE,77
BILL,SARAI,52
BLAKE,ARMAND,55
BLAKE,MARINE,45
BLAKE,SONNY,51
BOB,ANTONE,45
BOB,LLOYD,54
BRADY,ALFONSO,44
BREANA,CHRISTOPER,46
BREANN,KATELYNN,40
BREANN,KIMI,43
BRITTANEY,CALANDRA,67
BRITTANIE,HARRISON,51
BRITTANIE,JA,50
BRITTANIE,MARYETTA,64
BRITTANIE,SHAYNE,71
BRITTANIE,TYSON,73
BRITTENY,NOLAN,52
BRITTENY,WILLOW,40
BRITTNY,MARIELLE,54
BRITTNY,STEPHANIA,45
BROCK,ROBBYN,66
BROCK,SVETLANA,77
BUENA,CINDERELLA,65
BUENA,NORBERT,53
BUENA,SAUL,46
BUENA,SENA,64
BUENA,TAD,45
BUENA,TAMA,43
BUENA,YASMINE,74
BURL,TED,49
CALANDRA,BRITTANEY,67
CALANDRA,IVEY,75
CALVIN,REED,56
CARLOS,NOLAN,46
CAROYLN,LAINE,70
CARRY,TIFANY,50
CARTER,WAYLON,62
CATHERYN,VON,58
CATRICE,SAGE,73
CAYLA,EVIA,47
CELSA,AVRIL,46
CELSA,DANYEL,53
CEOLA,LELAND,41
CESAR,YULANDA,53
CHERE,ADOLFO,78
CHERE,ARICA,53
CHERE,EZEQUIEL,48
CHERE,JAMEL,50
CHERE,WILLIEMAE,42
CHERELLE,LEVI,65
CHERELLE,MARIN,53
CHERILYN,ADAH,67
CHERLYN,GEORGIANNE,77
CHERLYN,JERLENE,74
CHERLYN,KIRSTIE,57
CHING,EVIA,60
CHING,GIDGET,75
CHING,KEENAN,67
CHRISTOPER,BREANA,46
CHRISTOPER,DARELL,66
CHRISTOPER,MARIELLE,55
CINDERELLA,BUENA,65
CINDIE,NOLAN,50
CINDIE,TONEY,63
CLARETHA,FRANKLIN,41
CLARINDA,HYO,70
CLARINDA,MARAGARET,54
CLARINDA,MARYLN,76
CLARIS,TONEY,69
CLEMENTE,TAD,58
COLE,LAKIESHA,41
COLE,RUPERT,55
COLENE,JAMEL,41
CONCHA,ELTON,68
CONCHA,LOVETTA,61
CONCHA,YER,58
CRISTOBAL,AVRIL,45
DACIA,SONNY,54
DALTON,ELVIS,76
DALTON,GARLAND,56
DALTON,ZACK,40
DANTE,BARRY,43
DANYEL,CELSA,53
DARCEL,WYNELL,67
DARCEY,ASHANTI,59
DARCEY,ELFRIEDA,69
DARCEY,ELVIS,71
DARCEY,JEANMARIE,70
DARELL,CHRISTOPER,66
DARELL,MARGY,68
DARRIN,HERBERT,76
DARRIN,LAINE,60
DARRIN,LAZARO,78
DARRIN,TAMA,78
DEANDREA,SHALON,43
DELCIE,AMIRA,75
DELCIE,LILLIA,44
DELCIE,NICHOLLE,40
DELMY,LAREE,74
DEREK,FRANSISCA,50
DEREK,GRAHAM,79
DEREK,KIRSTIE,52
DEREK,RUTHE,76
DESHAWN,FELIPE,49
DESHAWN,TAMA,78
DESHAWN,TYREE,56
DESPINA,MILDA,61
DESPINA,RICKEY,67
DIDDY,GEORGIANN,40
DINO,GARLAND,61
DINORAH,VERNIA,66
DONNELL,EZEQUIEL,42
DONTE,LELAND,73
DONTE,SHARELL,77
DONTE,TRUMAN,59
DONTE,YAEKO,45
DORETHEA,GREGG,47
DORETHEA,XIAO,40
DOUG,ANTONE,59
ED,YURIKO,49
EDMUNDO,KARISA,77
EILENE,MARQUITTA,49
ELENE,ANNELLE,70
ELEONORA,LASHAWNDA,40
ELEONORA,YOULANDA,67
ELFRIEDA,DARCEY,69
ELFRIEDA,FRANSISCA,74
ELFRIEDA,MILLY,53
ELIDIA,KENDA,47
ELIDIA,KITTIE,47
