papal,0 2 0 0 0
cacti,0 2 0 0 0
bauds,0 2 0 0 0
ragee,1 2 0 0 0
marry,2 2 1 0 0
manor,2 2 0 2 2
yills,1 0 0 0 1
mousy,0 1 0 1 2
savoy,2 0 0 1 2
showy,2 0 2 0 2
stony,2 2 2 0 2
stogy,2 2 2 0 2
jotas,0 0 0 2 0
redan,0 2 0 2 2
leman,0 2 0 2 2
vegan,0 2 2 2 2
buxom,0 0 0 0 0
three,2 2 1 1 2
calif,0 0 0 1 1
finny,2 2 0 0 2
fizzy,2 2 0 0 2
firry,2 2 0 0 2
fishy,2 2 0 0 2
style,1 0 1 0 1
zymes,0 1 0 1 2
obeys,0 0 1 1 2
yechs,2 2 0 0 2
yeuks,2 2 0 0 2
yeans,2 2 2 0 2
short,0 0 1 1 0
oiler,1 1 0 0 2
flogs,1 0 0 0 0
unfed,0 0 1 2 0
thief,1 0 0 2 1
clubs,0 0 0 0 0
night,0 0 0 1 1
froth,0 1 0 1 1
there,2 2 1 1 2
mores,0 0 1 2 0
fewer,0 1 0 2 2
ether,2 0 0 2 2
elver,2 0 0 2 2
ender,2 0 0 2 2
egger,2 0 2 2 2
wecht,0 1 1 1 0
ochre,0 1 1 0 1
chela,2 2 2 0 0
chess,2 2 2 0 2
raker,0 2 2 2 0
laked,0 2 2 2 2
naked,0 2 2 2 2
faked,0 2 2 2 2
caked,0 2 2 2 2
waked,0 2 2 2 2
alcid,0 0 0 1 0
gimme,1 2 0 0 1
tiger,1 2 2 1 0
tests,2 0 2 2 0
blabs,0 0 0 0 0
reeve,1 1 2 0 0
greed,2 2 2 2 0
greek,2 2 2 2 0
greet,2 2 2 2 0
vigor,0 1 0 0 1
curia,0 0 1 1 1
irade,1 1 1 0 0
pairs,0 2 2 2 0
hairy,0 2 2 2 2
sooth,1 0 0 0 0
jakes,0 2 2 2 2
wakes,0 2 2 2 2
bakes,0 2 2 2 2
lakes,0 2 2 2 2
makes,0 2 2 2 2
fakes,0 2 2 2 2
rakes,0 2 2 2 2
nomos,1 0 0 0 1
dense,0 0 1 1 0
basin,0 0 1 1 1
stink,1 0 2 2 0
razor,0 0 0 0 0
jefes,0 2 0 2 1
semen,2 2 0 2 2
scena,1 0 2 2 0
peens,0 0 2 2 2
whens,0 0 2 2 2
glens,0 0 2 2 2
brens,0 0 2 2 2
miens,0 0 2 2 2
marly,0 0 0 2 0
wells,2 1 0 2 0
whelk,2 2 1 2 0
whole,2 2 0 2 2
dolce,0 2 0 0 0
porny,0 2 2 0 2
forby,2 2 2 0 2
foray,2 2 2 0 2
forky,2 2 2 0 2
maile,0 0 0 0 1
jeers,0 1 0 1 0
pryer,0 0 0 2 2
tower,1 1 0 2 2
ofter,2 0 1 2 2
savor,2 1 0 0 0
shaky,2 0 2 0 0
stain,2 0 2 0 0
swage,2 0 2 0 0
scabs,2 0 2 0 0
spall,2 0 2 2 2
humor,0 0 2 1 0
woman,2 2 2 0 2
smaze,0 0 0 0 0
lying,0 0 0 2 0
drunk,1 0 2 2 0
bound,0 2 2 2 2
hound,0 2 2 2 2
wound,0 2 2 2 2
pound,0 2 2 2 2
hemin,0 1 0 0 0
ludes,2 0 0 1 0
latte,2 2 0 0 2
tines,0 1 0 0 0
axial,1 0 2 0 0
fairy,0 2 2 2 2
dairy,0 2 2 2 2
lymph,0 0 0 1 0
pride,1 0 0 0 0
kaput,0 0 1 0 1
stowp,2 1 2 0 1
scend,0 0 1 1 1
bendy,0 1 1 1 0
endue,1 2 2 1 0
ducat,0 0 0 0 1
toits,2 0 1 0 0
tinge,2 1 0 0 1
tempi,2 1 0 0 1
gighe,0 0 0 0 1
fused,0 0 1 2 0
pekes,0 1 1 2 2
skees,0 1 2 2 2
wonky,2 0 0 0 0
wried,2 0 2 0 0
whizz,2 2 2 0 0
whist,2 2 2 0 0
whiff,2 2 2 0 0
sleet,0 0 0 0 2
audit,0 0 0 1 2
fritt,0 0 1 0 2
hight,0 2 2 2 2
bight,0 2 2 2 2
night,0 2 2 2 2
wight,0 2 2 2 2
stood,1 0 0 0 0
almas,1 0 0 0 1
usage,1 1 1 0 2
pause,0 2 2 2 2
morae,0 0 1 2 1
sewar,0 1 0 2 1
dread,0 2 2 2 0
ureal,0 2 2 2 0
treat,0 2 2 2 2
pomps,0 2 0 0 0
coden,0 2 1 0 0
dough,1 2 0 0 0
bovid,0 2 0 0 2
woald,2 2 0 2 2
arias,0 1 0 0 0
huger,0 0 0 2 2
deter,0 0 0 2 2
vomer,0 2 0 2 2
lower,0 2 2 2 2
cower,0 2 2 2 2
bower,0 2 2 2 2
rower,0 2 2 2 2
garni,0 0 0 0 0
whump,1 0 0 0 0
dwelt,0 1 1 1 0
bowel,2 1 1 1 1
wrick,0 1 0 0 0
ferns,0 1 2 0 0
parle,0 2 2 0 1
dared,0 2 2 1 0
togae,1 0 0 0 0
situp,0 1 2 1 0
cutin,0 1 2 2 1
skier,0 0 0 2 0
layed,1 0 0 2 1
wedel,0 0 2 2 2
cacti,0 1 0 1 1
tiara,2 1 2 1 0
traik,2 2 2 2 0
trail,2 2 2 2 0
trait,2 2 2 2 0
those,1 0 0 1 1
kites,0 1 1 1 2
edits,2 0 2 2 2
exits,2 0 2 2 2
limby,1 0 0 1 0
blues,2 2 0 0 0
bland,2 2 0 0 2
baker,0 1 0 0 0
linac,0 1 1 1 0
antis,2 1 0 2 0
auxin,2 0 0 2 2
amain,2 0 2 2 2
nidal,1 2 0 0 0
mines,0 2 1 2 0
vixen,1 2 0 2 2
riven,0 2 2 2 2
cinch,0 0 0 0 0
rayas,1 0 1 0 0
forky,0 0 1 0 2
query,0 0 2 2 2
veery,1 1 2 2 2
straw,0 0 1 2 0
rugae,2 0 0 2 0
radar,2 0 0 2 0
royal,2 0 0 2 2
cozes,0 0 0 1 1
spate,2 0 2 2 2
slate,2 0 2 2 2
skate,2 0 2 2 2
ripes,0 0 0 0 0
ducal,1 1 0 0 1
mould,0 2 2 2 2
haves,0 0 0 2 0
roger,0 1 0 2 0
objet,2 0 0 2 1
outed,2 0 2 2 0
ables,0 0 0 1 1
sperm,1 0 1 0 0
neist,0 1 0 2 0
dowse,0 2 0 2 2
fosse,0 2 0 2 2
goose,0 2 0 2 2
youse,0 2 2 2 2
rance,0 0 0 0 0
silks,2 1 1 0 0
stilt,2 2 2 2 0
aunts,1 0 0 1 0
wrapt,2 1 1 0 1
mares,1 1 0 0 0
qualm,0 0 1 0 1
axman,2 0 1 0 1
anomy,2 1 2 1 0
cusps,1 2 0 0 2
mucks,0 2 2 2 2
rucks,0 2 2 2 2
yucks,0 2 2 2 2
bucks,0 2 2 2 2
tucks,0 2 2 2 2
hucks,0 2 2 2 2
gucks,0 2 2 2 2
lucks,0 2 2 2 2
fucks,0 2 2 2 2
gighe,0 0 0 1 2
horde,1 0 1 0 2
rhyme,1 2 0 0 2
chare,0 2 0 2 2
there,0 2 2 2 2
yonic,0 0 0 0 0
laves,2 2 0 2 0
lamer,2 2 0 2 2
laker,2 2 0 2 2
lager,2 2 0 2 2
lader,2 2 0 2 2
laxer,2 2 0 2 2
zingy,0 1 1 0 0
intis,1 1 0 0 0
reink,0 1 2 1 0
naive,1 1 2 0 1
nubia,0 0 0 1 0
imide,0 0 2 0 1
skies,0 0 2 2 0
frier,1 0 2 2 0
thief,0 2 2 2 2
dolci,1 2 1 1 0
taler,0 0 0 0 1
gyrus,1 0 1 0 0
wrong,0 2 0 2 2
iring,0 2 2 2 2
egest,1 0 1 0 0
redye,0 2 0 0 2
femme,0 2 0 0 2
newie,0 2 0 0 2
leave,0 2 2 0 2
pandy,0 0 2 0 0
gonof,0 0 2 0 0
cunts,1 0 2 0 1
drops,1 0 0 0 1
shady,2 0 0 2 2
seedy,2 0 0 2 2
unarm,0 0 0 0 0
pekes,0 0 0 0 2
voids,0 1 0 0 2
glows,0 0 2 2 2
stows,2 0 2 2 2
scows,2 0 2 2 2
preen,0 0 0 0 2
cyton,0 0 0 0 2
jawan,0 0 0 2 2
uhlan,1 1 0 2 2
tabes,0 0 0 0 0
hying,0 0 0 0 1
doggo,0 1 1 0 0
growl,2 2 2 0 0
avgas,0 0 0 0 0
meted,0 0 1 0 0
poult,0 0 0 0 1
tizzy,2 1 0 0 0
trick,2 0 2 0 2
atlas,1 0 0 0 1
paise,1 1 0 1 2
spade,2 2 2 0 2
spake,2 2 2 0 2
spare,2 2 2 0 2
paths,0 1 0 0 0
axled,1 0 1 0 0
ligan,1 0 0 2 0
